기능,사용자,Method,URL,param,설명,순서,인증필요여부,카테고리
리뷰 상세 조회,전체,GET,/api/products/reviews/{id}/,id,특정 리뷰 상세를 조회합니다.,42,인증 선택,상품/추천 21
게시글 삭제,작성자,DELETE,/api/community/posts/{id}/,id,작성자가 게시글을 삭제합니다.,49,작성자 권한 필요,커뮤니티 15
게시글 댓글 작성,회원,POST,/api/community/posts/{id}/comments/,"content, id, parent",특정 게시글에 댓글 또는 대댓글을 작성합니다.,53,로그인 필요,커뮤니티 15
내 게시글 조회,회원,GET,/api/community/posts/mine/,"limit, page, page_size",로그인 사용자가 작성한 게시글 목록을 조회합니다.,50,로그인 필요,커뮤니티 15
댓글 작성,회원,POST,/api/community/comments/,"content, parent, post",댓글 또는 대댓글을 작성합니다.,55,로그인 필요,커뮤니티 15
게시글 목록 조회,전체,GET,/api/community/posts/,"author, category, limit, page, page_size, product, q",커뮤니티 게시글 목록을 조회합니다.,45,인증 선택,커뮤니티 15
상품 옵션 찜 수정,회원,PUT/PATCH,/api/engagements/liked-options/{id}/,"id, 찜 필드",찜 항목의 스냅샷/표시 정보를 수정합니다.,64,로그인 필요,참여/찜 6
AI 메이크오버 개별 재생성,회원,POST,/api/diagnosis/results/{result_id}/makeovers/{style_key}/retry/,"result_id, style_key",특정 메이크오버 스타일 이미지를 다시 생성합니다.,23,로그인 필요,퍼스널컬러 진단 12
회원가입,비회원,POST,/accounts/signup/,"email, password, username",신규 사용자를 생성합니다.,1,인증 불필요,계정 11
JWT 토큰 갱신,비회원,POST,/accounts/jwt-refresh/,refresh,새 access 토큰을 발급합니다.,5,인증 불필요,계정 11
상품 상세 조회,전체,GET,/api/products/{product_id}/,"product_id, second_tone_key, tone_key",특정 상품 상세와 옵션별 추천 정보를 조회합니다.,25,인증 선택,상품/추천 21
상품 목록 조회,전체,GET,/api/products/,"category, q, second_tone_key, tone_key",상품 목록을 조회하고 검색/카테고리/톤 기준으로 필터링합니다.,24,인증 선택,상품/추천 21
상품 옵션 찜 토글,회원,POST,/api/engagements/liked-options/toggle/,"option_id, product_id, product_option_id","이미 찜한 항목이면 삭제하고, 아니면 추가합니다.",62,로그인 필요,참여/찜 6
알림 목록 조회,회원,GET,/api/notifications/,"page’ 'page_size', ‘limit",로그인 사용자의 알림 목록을 조회합니다.,66,로그인 필요,알림 4
리뷰 삭제,작성자,DELETE,/api/products/reviews/{id}/,id,작성자가 자신의 리뷰를 삭제합니다.,44,작성자 권한 필요,상품/추천 21
메인 퍼스널컬러 설정,회원,POST,/api/diagnosis/results/{result_id}/set-primary/,result_id,선택한 진단 결과를 메인 퍼스널컬러로 설정합니다.,19,로그인 필요,퍼스널컬러 진단 12
닉네임 중복 확인,회원,POST,/accounts/check-nickname/,nickname,닉네임 사용 가능 여부를 확인합니다.,10,로그인 필요,계정 11
안 읽은 알림 개수 조회,회원,GET,/api/notifications/unread-count/,-,안 읽은 알림 개수를 조회합니다.,67,로그인 필요,알림 4
단일 알림 읽음 처리,회원,PATCH/POST,/api/notifications/{pk}/read/,pk,특정 알림을 읽음 처리하고 남은 안 읽은 개수를 반환합니다.,69,로그인 필요,알림 4
이미지 분석 기록 수정,회원,PATCH,/api/products/image-analyses/{analysis_id}/,"analysis_id, brand_name, category, options, product_name","이미지 분석 결과의 상품명, 브랜드명, 카테고리, 색상 옵션을 수정합니다.",32,로그인 필요,상품/추천 21
모든 알림 읽음 처리,회원,POST,/api/notifications/mark-all-read/,-,로그인 사용자의 모든 알림을 읽음 처리합니다.,68,로그인 필요,알림 4
이미지 분석 기록 상세,회원,GET,/api/products/image-analyses/{analysis_id}/,analysis_id,특정 이미지 분석 기록 상세를 조회합니다.,31,로그인 필요,상품/추천 21
상품 Router 삭제,회원,DELETE,/api/products/items/{id}/,id,상품 데이터를 삭제합니다.,39,로그인 필요,상품/추천 21
내 정보 조회,회원,GET,/accounts/user/,-,로그인한 사용자의 프로필 정보를 조회합니다.,6,로그인 필요,계정 11
이미지 분석 확정,회원,POST,/api/products/image-analyses/{analysis_id}/confirm/,analysis_id,검토한 이미지 분석 결과를 확정합니다.,34,로그인 필요,상품/추천 21
